## emapper-2.1.13	
## /usr/local/bin/emapper.py -i /inputs/GCA_000499845.2_P._vulgaris_v2.0_protein.faa --itype proteins -o /outputs/pvul_eggnog -m diamond --cpu 12 --data_dir /eggnog_db	
##	
#query	KEGG_ko
ESW03268.1	ko:K01738,ko:K14831
ESW03419.1	-
ESW03420.1	-
ESW03421.1	-
ESW03422.1	-
ESW03424.1	-
ESW03425.1	-
ESW03426.1	ko:K21842
ESW03427.1	ko:K04730,ko:K04733
ESW03428.1	-
ESW03429.1	ko:K15078
ESW03430.1	-
ESW03431.1	ko:K15014
ESW03432.1	ko:K14173
ESW03434.1	-
ESW03436.1	-
ESW03437.1	ko:K01537
ESW03438.1	ko:K00279
ESW03439.1	-
ESW03440.1	-
ESW03441.1	-
ESW03444.1	-
ESW03446.1	ko:K11841
ESW03447.1	ko:K11841
ESW03448.1	-
ESW03449.1	ko:K22390
ESW03450.1	ko:K22390
ESW03451.1	-
ESW03453.1	ko:K09873
ESW03454.1	ko:K13427
ESW03455.1	-
ESW03456.1	-
ESW03457.1	-
ESW03458.2	ko:K04567
ESW03459.1	ko:K13352
ESW03460.1	-
ESW03461.1	ko:K20294
ESW03462.1	ko:K13993
ESW03463.1	ko:K13993
ESW03464.1	ko:K13783
ESW03465.1	ko:K03086
ESW03466.1	-
ESW03467.1	ko:K03163
ESW03468.1	ko:K03163
ESW03469.1	ko:K00512,ko:K07408,ko:K07409
ESW03470.1	ko:K07019
ESW03471.1	-
ESW03472.1	-
ESW03473.1	-
ESW03474.1	-
ESW03475.1	ko:K05928
ESW03476.1	ko:K05928
ESW03477.1	-
ESW03478.1	-
ESW03479.1	ko:K02605
ESW03480.2	-
ESW03481.1	-
ESW03482.1	ko:K22193
ESW03483.1	-
ESW03484.1	-
ESW03485.1	-
ESW03486.1	-
ESW03487.1	-
ESW03488.1	-
ESW03489.1	-
ESW03490.1	-
ESW03491.1	-
ESW03492.1	ko:K00121
ESW03493.1	-
ESW03494.1	ko:K19761
ESW03495.1	ko:K17081
ESW03496.1	-
ESW03497.1	-
ESW03498.1	ko:K14321
ESW03499.1	-
ESW03500.1	-
ESW03501.1	-
ESW03502.1	-
ESW03503.2	-
ESW03504.1	-
ESW03506.1	-
ESW03507.1	ko:K09422
ESW03508.1	-
ESW03509.1	-
ESW03511.1	-
ESW03513.1	ko:K17790
ESW03514.1	-
ESW03515.1	-
ESW03516.1	-
ESW03517.1	ko:K20924
ESW03518.1	ko:K20924
ESW03519.1	ko:K01904
ESW03520.1	ko:K03939
ESW03521.1	-
ESW03522.1	ko:K04683,ko:K09392
ESW03523.1	-
ESW03524.1	-
ESW03525.1	ko:K01874
ESW03526.1	ko:K14290
ESW03527.1	ko:K07977
ESW03528.1	-
ESW03529.1	ko:K15425
ESW03530.1	-
ESW03531.1	-
ESW03532.1	-
ESW03533.1	-
ESW03534.2	ko:K03859
ESW03535.1	ko:K00392
ESW03536.1	-
ESW03538.1	-
ESW03539.1	-
ESW03540.1	-
ESW03541.1	-
ESW03542.1	-
ESW03543.1	-
ESW03544.1	ko:K00858
ESW03545.1	ko:K00858
ESW03547.1	ko:K13113,ko:K14964
ESW03548.1	-
ESW03549.1	-
ESW03550.1	-
ESW03551.1	ko:K01012
ESW03553.2	ko:K01870
ESW03554.1	-
ESW03555.1	-
ESW03556.1	-
ESW03557.1	ko:K00844
ESW03558.1	ko:K06688
ESW03559.1	-
ESW03560.1	-
ESW03561.1	-
ESW03562.1	-
ESW03563.1	-
ESW03564.1	ko:K20027
ESW03565.1	ko:K20027
ESW03566.1	ko:K16871
ESW03567.1	-
ESW03568.1	ko:K20283
ESW03570.1	-
ESW03573.1	-
ESW03574.1	-
ESW03575.1	-
ESW03576.1	-
ESW03577.1	ko:K12271
ESW03578.1	ko:K19791
ESW03579.1	-
ESW03580.1	-
ESW03581.1	ko:K09866
ESW03582.1	ko:K09866
ESW03583.1	ko:K01988
ESW03585.1	ko:K10949
ESW03588.1	-
ESW03589.1	-
ESW03590.1	ko:K13249
ESW03591.1	-
ESW03594.1	ko:K01802
ESW03596.1	ko:K04794
ESW03597.1	-
ESW03598.1	ko:K14568
ESW03599.1	ko:K12183
ESW03602.1	ko:K02935
ESW03603.1	ko:K02935
ESW03604.1	-
ESW03605.1	ko:K16297
ESW03606.1	ko:K16297
ESW03609.1	ko:K10904
ESW03610.1	ko:K16297
ESW03611.1	ko:K12598,ko:K13109
ESW03612.1	-
ESW03613.1	-
ESW03614.1	-
ESW03615.2	ko:K14311
ESW03616.1	ko:K16297
ESW03618.1	-
ESW03619.1	ko:K06950
ESW03622.1	-
ESW03623.1	ko:K01358
ESW03626.1	-
ESW03627.1	ko:K14859
ESW03628.1	-
ESW03630.1	-
ESW03631.1	-
ESW03632.1	ko:K19613,ko:K22038
ESW03633.1	ko:K00430
ESW03634.1	ko:K00430
ESW03635.1	ko:K01179
ESW03641.1	ko:K11294
ESW03642.1	-
ESW03643.1	-
ESW03649.1	-
ESW03650.1	ko:K15201
ESW03651.1	ko:K01872
ESW03653.1	-
ESW03654.1	-
ESW03656.1	ko:K17867
ESW03657.1	ko:K12824
ESW03659.1	-
ESW03660.1	-
ESW03661.1	ko:K09828
ESW03662.1	ko:K03648
ESW03663.1	ko:K03648
ESW03664.1	ko:K02936
ESW03665.1	-
ESW03666.1	-
ESW03667.1	ko:K14651
ESW03668.1	ko:K14651
ESW03669.1	-
ESW03670.1	-
ESW03671.1	ko:K10879
ESW03672.1	-
ESW03673.1	ko:K12489
ESW03674.1	-
ESW03675.1	ko:K04125
ESW03676.1	-
ESW03678.1	ko:K01181
ESW03679.1	-
ESW03680.1	-
ESW03681.1	-
ESW03682.1	-
ESW03685.1	-
ESW03686.1	ko:K18754
ESW03687.1	ko:K13946
ESW03688.1	-
ESW03691.1	-
ESW03692.1	-
ESW03693.1	-
ESW03694.1	ko:K05765
ESW03695.1	-
ESW03696.1	ko:K19366
ESW03697.1	ko:K09422
ESW03698.1	ko:K00434
ESW03700.1	-
ESW03701.1	ko:K10590
ESW03702.1	ko:K10590
ESW03704.1	ko:K04392
ESW03705.1	ko:K06689
ESW03706.1	-
ESW03707.1	-
ESW03708.1	-
ESW03709.1	-
ESW03710.1	ko:K10752
ESW03711.1	ko:K10752
ESW03712.1	ko:K19042
ESW03713.1	ko:K00999
ESW03714.1	ko:K00999
ESW03715.1	-
ESW03719.1	ko:K14488
ESW03720.1	ko:K14488
ESW03721.1	ko:K14488
ESW03722.1	ko:K14488
ESW03723.1	ko:K14488
ESW03724.1	ko:K14488
ESW03725.1	ko:K14488
ESW03726.1	ko:K14488
ESW03727.1	ko:K14488
ESW03728.1	ko:K14488
ESW03729.1	ko:K14488
ESW03730.1	ko:K14488
ESW03731.1	ko:K14488
ESW03732.1	ko:K11341
ESW03733.1	ko:K14488
ESW03734.1	ko:K14488
ESW03735.1	ko:K02129
ESW03736.1	-
ESW03737.1	ko:K12345
ESW03738.1	ko:K12345
ESW03739.1	ko:K00002,ko:K00011,ko:K00085
ESW03740.1	ko:K02155
ESW03741.1	ko:K07071
ESW03742.2	-
ESW03743.1	ko:K11498
ESW03744.1	ko:K11498
ESW03746.1	-
ESW03748.1	ko:K01623
ESW03749.1	ko:K01623
ESW03750.1	-
ESW03751.1	-
ESW03752.1	ko:K01179
ESW03753.1	-
ESW03754.1	ko:K21630
ESW03755.1	ko:K21630
ESW03756.1	-
ESW03757.1	ko:K14290
ESW03758.1	-
ESW03759.1	ko:K11247
ESW03760.1	ko:K11247
ESW03761.1	ko:K00801
ESW03762.1	ko:K00801
ESW03764.1	-
ESW03765.1	ko:K07574
ESW03766.1	-
ESW03767.1	-
ESW03768.1	ko:K11498
ESW03769.1	ko:K11498
ESW03770.1	ko:K11498
ESW03771.1	-
ESW03772.1	-
ESW03774.1	-
ESW03775.1	ko:K05236
ESW03776.1	-
ESW03777.1	-
ESW03778.1	ko:K02212
ESW03779.1	-
ESW03780.1	ko:K02154
ESW03781.1	ko:K01373
ESW03783.2	ko:K00801
ESW03784.1	-
ESW03785.1	-
ESW03786.1	ko:K01527
ESW03787.1	ko:K00924
ESW03788.1	ko:K00924
ESW03789.1	ko:K14565
ESW03790.1	ko:K02150,ko:K22450
ESW03791.1	ko:K20471
ESW03793.1	-
ESW03794.1	-
ESW03795.1	ko:K02725
ESW03796.1	-
ESW03797.1	-
ESW03798.1	-
ESW03799.1	-
ESW03800.1	ko:K13998
ESW03801.1	ko:K13998
ESW03802.1	ko:K08900
ESW03803.1	-
ESW03804.1	ko:K02975
ESW03805.1	-
ESW03806.1	-
ESW03807.1	-
ESW03808.1	-
ESW03809.1	-
ESW03810.1	-
ESW03811.1	ko:K00975
ESW03812.1	-
ESW03813.1	-
ESW03814.1	-
ESW03815.1	-
ESW03816.1	ko:K14857
ESW03817.1	-
ESW03818.1	-
ESW03819.1	-
ESW03820.1	-
ESW03821.1	-
ESW03822.1	-
ESW03823.1	ko:K12885,ko:K13195
ESW03824.1	ko:K15032
ESW03826.1	-
ESW03827.1	-
ESW03828.1	-
ESW03829.1	-
ESW03830.1	-
ESW03831.1	-
ESW03832.1	-
ESW03833.1	-
ESW03834.1	ko:K17261
ESW03835.1	ko:K17261
ESW03836.1	-
ESW03837.1	ko:K04536
ESW03838.1	ko:K17267
ESW03839.1	ko:K07897
ESW03840.1	ko:K11649
ESW03841.1	-
ESW03843.1	ko:K01358
ESW03844.1	-
ESW03845.1	-
ESW03846.1	-
ESW03847.1	ko:K17279
ESW03848.1	ko:K20783
ESW03849.1	ko:K09060
ESW03850.1	ko:K03809
ESW03851.1	ko:K12670
ESW03852.1	-
ESW03853.1	-
ESW03854.1	ko:K13513
ESW03855.1	ko:K13513
ESW03856.1	ko:K14018
ESW03857.1	ko:K03527
ESW03858.1	ko:K07399
ESW03859.1	ko:K07399
ESW03860.1	-
ESW03861.1	-
ESW03862.1	-
ESW03863.1	ko:K11968
ESW03864.1	ko:K11968
ESW03865.1	-
ESW03866.1	-
ESW03867.1	-
ESW03868.1	-
ESW03869.1	ko:K21894
ESW03871.1	-
ESW03872.1	-
ESW03875.1	-
ESW03876.1	-
ESW03877.1	ko:K19041
ESW03878.1	ko:K01897
ESW03879.1	-
ESW03880.1	ko:K01723,ko:K17874
ESW03881.1	ko:K11876
ESW03882.1	ko:K11876
ESW03883.1	-
ESW03884.1	-
ESW03885.1	-
ESW03894.1	-
ESW03895.1	ko:K08873
ESW03896.1	ko:K08873
ESW03897.1	ko:K15455
ESW03898.1	ko:K21554
ESW03899.1	-
ESW03900.1	-
ESW03901.1	-
ESW03902.1	-
ESW03903.1	-
ESW03904.1	-
ESW03906.1	-
ESW03907.1	-
ESW03909.1	-
ESW03910.1	-
ESW03911.1	ko:K01183
ESW03912.1	-
ESW03913.1	ko:K01802
ESW03914.1	ko:K20360
ESW03915.1	ko:K14569
ESW03916.1	ko:K13344
ESW03917.1	-
ESW03919.1	-
ESW03924.1	-
ESW03925.1	-
ESW03926.1	-
ESW03927.1	-
ESW03928.1	ko:K08057
ESW03929.1	ko:K01069
ESW03930.1	ko:K07748
ESW03931.1	ko:K12831
ESW03932.1	ko:K10290
ESW03933.1	-
ESW03934.1	-
ESW03935.1	-
ESW03936.1	ko:K00847
ESW03937.1	ko:K00847
ESW03938.1	-
ESW03940.1	ko:K13448
ESW03941.1	-
ESW03942.1	-
ESW03944.1	ko:K04730
ESW03947.1	-
ESW03948.1	-
ESW03949.1	ko:K00913,ko:K01876
ESW03950.1	ko:K21842
ESW03951.1	-
ESW03952.1	-
ESW03955.1	ko:K06172
ESW03956.1	-
ESW03957.1	-
ESW03958.1	ko:K13412
ESW03959.1	ko:K11968
ESW03960.1	-
ESW03961.1	-
ESW03962.1	ko:K01188
ESW03963.1	ko:K01188
ESW03966.1	ko:K01188,ko:K01237
ESW03967.1	ko:K01188,ko:K01237
ESW03969.1	ko:K01188
ESW03970.1	ko:K01188
ESW03971.1	ko:K01188
ESW03972.1	ko:K00454
ESW03973.1	-
ESW03974.1	-
ESW03976.1	ko:K10277
ESW03977.1	-
ESW03978.1	-
ESW03979.1	-
ESW03980.1	ko:K11253
ESW03981.1	-
ESW03982.1	-
ESW03986.1	ko:K09955
ESW03987.1	ko:K09955
ESW03988.1	ko:K09955
ESW03989.1	ko:K09955
ESW03990.1	-
ESW03991.1	ko:K09285
ESW03992.1	-
ESW03994.1	-
ESW03996.1	ko:K07238
ESW03997.1	-
ESW03998.1	ko:K14638
ESW03999.1	ko:K14638
ESW04000.1	ko:K19045
ESW04002.1	-
ESW04003.1	-
ESW04006.1	-
ESW04008.1	ko:K00128
ESW04009.1	ko:K03977
ESW04010.1	ko:K13523,ko:K21027
ESW04011.1	ko:K13523,ko:K21027
ESW04012.1	ko:K06943
ESW04013.1	ko:K09422
ESW04014.1	-
ESW04015.1	-
ESW04016.1	ko:K14500
ESW04017.1	ko:K13993
ESW04018.1	ko:K07408,ko:K13227,ko:K13493
ESW04019.1	ko:K14686
ESW04020.1	ko:K14686
ESW04021.1	-
ESW04022.1	-
ESW04023.1	-
ESW04024.1	-
ESW04025.1	-
ESW04026.1	-
ESW04027.1	ko:K07904,ko:K07905,ko:K07976
ESW04028.1	ko:K14689
ESW04029.1	ko:K08081
ESW04030.1	ko:K08081
ESW04031.1	-
ESW04032.1	-
ESW04033.1	ko:K13171
ESW04034.1	-
ESW04036.1	-
ESW04037.1	-
ESW04038.1	ko:K17943
ESW04039.1	ko:K17943
ESW04040.1	ko:K11982
ESW04041.1	ko:K16283
ESW04042.1	ko:K16283
ESW04044.1	-
ESW04045.1	ko:K08956
ESW04046.1	ko:K07025
ESW04047.1	-
ESW04050.1	-
ESW04051.1	-
ESW04052.1	-
ESW04053.1	ko:K07393,ko:K20174,ko:K20463
ESW04054.1	-
ESW04055.1	-
ESW04056.1	-
ESW04057.1	-
ESW04058.1	ko:K04733
ESW04059.1	-
ESW04060.1	ko:K17777
ESW04061.1	ko:K01102
ESW04062.1	ko:K12471
ESW04063.1	-
ESW04064.1	ko:K10355
ESW04065.1	ko:K19044
ESW04066.1	ko:K04733,ko:K08332
ESW04067.1	-
ESW04068.1	-
ESW04069.1	-
ESW04070.1	ko:K03283
ESW04071.1	ko:K03217
ESW04072.1	ko:K03217
ESW04074.1	-
ESW04075.1	ko:K10575
ESW04076.1	-
ESW04078.1	-
ESW04079.1	ko:K08678
ESW04080.1	ko:K08678
ESW04081.1	ko:K08678
ESW04082.1	ko:K08678
ESW04083.1	ko:K08678
ESW04084.1	-
ESW04085.1	ko:K12881
ESW04086.1	ko:K11252
ESW04087.1	ko:K11252
ESW04088.1	ko:K13195
ESW04089.1	ko:K13195
ESW04090.1	ko:K11252
ESW04091.1	ko:K11252
ESW04092.1	ko:K11252
ESW04093.1	ko:K07901
ESW04094.1	-
ESW04095.1	-
ESW04096.1	-
ESW04097.1	-
ESW04098.1	ko:K09422
ESW04099.1	ko:K09422
ESW04100.1	ko:K10703
ESW04101.1	ko:K10703
ESW04103.1	ko:K09873
ESW04104.1	-
ESW04105.2	-
ESW04106.1	-
ESW04107.1	ko:K02893
ESW04108.1	ko:K15276
ESW04109.1	-
ESW04110.1	ko:K10871
ESW04111.1	-
ESW04112.1	ko:K07408,ko:K14985
ESW04113.1	-
ESW04114.1	-
ESW04115.1	-
ESW04116.1	-
ESW04119.1	-
ESW04120.1	ko:K07195
ESW04121.1	ko:K15397
ESW04122.1	-
ESW04123.1	-
ESW04124.1	-
ESW04125.1	-
ESW04126.1	ko:K12605
ESW04127.1	ko:K12605
ESW04128.1	ko:K12605
ESW04130.1	ko:K13435
ESW04131.1	ko:K11254
ESW04132.1	-
ESW04133.1	-
ESW04134.1	ko:K10398
ESW04135.1	ko:K03018
ESW04136.1	-
ESW04138.1	ko:K20715
ESW04139.1	ko:K20715
ESW04140.1	ko:K20715
ESW04141.1	ko:K20715
ESW04142.1	ko:K20715
ESW04143.1	ko:K20715
ESW04144.1	ko:K20715
ESW04145.1	-
ESW04146.1	-
ESW04147.1	-
ESW04148.1	-
ESW04150.1	ko:K12129,ko:K12130,ko:K12131
ESW04153.1	-
ESW04154.1	ko:K09284
ESW04155.1	ko:K09284
ESW04156.2	-
ESW04158.1	ko:K00434
ESW04159.1	ko:K20536
ESW04160.1	ko:K20536
ESW04162.1	ko:K02154
ESW04163.1	ko:K08597
ESW04164.1	ko:K05359
ESW04165.1	-
ESW04166.1	ko:K10352
ESW04167.1	-
ESW04168.1	-
ESW04170.1	-
ESW04171.1	-
ESW04173.1	ko:K02902
ESW04174.1	ko:K17815
ESW04176.1	-
ESW04177.1	ko:K17815
ESW04178.1	-
ESW04179.1	ko:K04706,ko:K16063,ko:K22403
ESW04181.1	-
ESW04182.1	ko:K00253
ESW04183.1	-
ESW04184.1	-
ESW04187.1	ko:K08472
ESW04188.1	ko:K09481
ESW04189.1	ko:K14801
ESW04190.1	-
ESW04191.1	-
ESW04192.1	-
ESW04193.1	-
ESW04194.1	-
ESW04195.1	-
ESW04198.1	ko:K08596,ko:K13459
ESW04205.1	-
ESW04207.1	-
ESW04214.1	ko:K02996
ESW04215.1	ko:K13106
ESW04216.1	ko:K13106
ESW04217.1	ko:K15456
ESW04223.1	-
ESW04224.1	-
ESW04225.1	-
ESW04226.1	-
ESW04228.1	-
ESW04229.1	ko:K03506,ko:K11656
ESW04230.1	-
ESW04231.1	-
ESW04232.1	-
ESW04233.1	-
ESW04234.1	ko:K09527
ESW04235.1	-
ESW04236.1	ko:K12392
ESW04237.1	ko:K00908,ko:K07359
ESW04239.1	-
ESW04240.1	-
ESW04242.1	-
ESW04243.1	-
ESW04244.1	-
ESW04245.1	-
ESW04246.1	-
ESW04247.1	-
ESW04248.1	ko:K09580
ESW04249.1	-
ESW04250.1	-
ESW04251.1	ko:K09872
ESW04252.1	ko:K02870
ESW04253.1	-
ESW04254.1	ko:K20195
ESW04255.1	-
ESW04256.1	ko:K09338
ESW04257.1	ko:K05290
ESW04258.1	ko:K15501
ESW04259.1	-
ESW04260.1	ko:K21630
ESW04261.1	ko:K22218
ESW04262.1	ko:K16329
ESW04263.1	-
ESW04264.1	-
ESW04266.1	ko:K05391
ESW04267.1	ko:K12587
ESW04269.1	ko:K16292
ESW04270.1	-
ESW04271.1	-
ESW04272.1	ko:K02992
ESW04275.1	-
ESW04276.1	-
ESW04277.1	ko:K01674
ESW04280.1	-
ESW04281.1	-
ESW04282.1	-
ESW04285.1	-
ESW04286.1	-
ESW04287.1	-
ESW04288.1	-
ESW04289.1	-
ESW04296.1	ko:K07199
ESW04297.1	ko:K02575
ESW04298.1	-
ESW04299.1	-
ESW04300.1	-
ESW04301.1	ko:K13525
ESW04302.1	ko:K14488
ESW04304.1	ko:K06185
ESW04305.1	-
ESW04306.1	-
ESW04308.1	ko:K01904
ESW04310.1	ko:K01759
ESW04311.1	ko:K09422
ESW04312.1	ko:K21806
ESW04313.1	ko:K16298
ESW04315.1	ko:K16298
ESW04316.1	ko:K16298
ESW04317.1	ko:K12193
ESW04318.1	ko:K08235
ESW04319.1	ko:K20889
ESW04320.1	-
ESW04321.1	-
ESW04322.1	-
ESW04323.1	-
ESW04325.1	-
ESW04326.1	ko:K10747
ESW04330.1	-
ESW04331.1	-
ESW04332.1	ko:K04565
ESW04333.1	-
ESW04334.1	ko:K02939
ESW04338.1	-
ESW04339.1	ko:K02219
ESW04340.1	-
ESW04341.1	-
ESW04342.1	-
ESW04343.1	ko:K10664
ESW04344.1	ko:K10664
ESW04345.1	ko:K10664
ESW04346.1	ko:K11252
ESW04347.1	-
ESW04348.1	-
ESW04349.1	-
ESW04350.1	-
ESW04351.1	ko:K09646
ESW04352.1	-
ESW04353.1	ko:K20184
ESW04354.1	ko:K11593
ESW04355.1	ko:K00924
ESW04356.1	ko:K02219
ESW04357.1	ko:K08832
ESW04359.1	-
ESW04360.1	ko:K00679
ESW04363.1	ko:K01601
ESW04364.1	ko:K11824
ESW04367.1	-
ESW04369.1	-
ESW04372.1	-
ESW04373.1	ko:K13680
ESW04374.1	ko:K11276
ESW04375.1	-
ESW04376.1	-
ESW04377.1	-
ESW04378.1	-
ESW04379.1	ko:K05359
ESW04380.1	ko:K14611
ESW04381.1	ko:K22200
ESW04382.1	-
ESW04383.1	-
ESW04384.1	-
ESW04385.1	-
ESW04386.1	-
ESW04389.1	ko:K06067
ESW04390.1	-
ESW04392.1	ko:K09286
ESW04393.1	ko:K00791
ESW04394.1	ko:K19748
ESW04395.1	-
ESW04397.1	ko:K02324
ESW04398.1	-
ESW04399.1	-
ESW04400.1	ko:K20624
ESW04401.1	ko:K09494
ESW04402.1	ko:K13356
ESW04404.1	ko:K13356
ESW04405.1	ko:K13356
ESW04406.1	ko:K13356
ESW04407.1	-
ESW04409.1	ko:K12196
ESW04410.1	-
ESW04411.1	ko:K12449
ESW04412.1	ko:K00780,ko:K03368
ESW04414.1	ko:K10798
ESW04416.1	-
ESW04419.1	-
ESW04420.1	-
ESW04421.1	-
ESW04426.1	-
ESW04428.1	-
ESW04429.1	ko:K17085
ESW04430.1	-
ESW04431.1	-
ESW04432.1	ko:K02639
ESW04433.1	-
ESW04434.1	-
ESW04435.1	ko:K02326
ESW04436.1	ko:K13161
ESW04437.1	ko:K13161
ESW04438.1	ko:K14007
ESW04439.1	ko:K20642
ESW04440.1	-
ESW04441.1	-
ESW04442.1	-
ESW04443.1	-
ESW04444.1	-
ESW04445.1	-
ESW04446.1	-
ESW04447.1	-
ESW04448.1	-
ESW04449.1	ko:K08515
ESW04450.1	ko:K03882,ko:K05576,ko:K05578
ESW04455.1	-
ESW04456.1	ko:K12655
ESW04457.1	-
ESW04458.1	-
ESW04459.1	-
ESW04460.1	-
ESW04461.1	ko:K14332
ESW04463.1	-
ESW04464.1	ko:K01501,ko:K13035
ESW04465.1	-
ESW04466.1	ko:K01537
ESW04467.1	-
ESW04468.1	-
ESW04469.1	-
ESW04470.1	-
ESW04471.1	ko:K12581
ESW04473.1	-
ESW04477.1	ko:K12619
ESW04478.1	-
ESW04479.1	ko:K01179
ESW04480.1	-
ESW04481.1	ko:K08857
ESW04482.1	-
ESW04483.1	-
ESW04484.1	-
ESW04485.1	-
ESW04486.1	-
ESW04487.1	-
ESW04488.1	-
ESW04489.1	-
ESW04490.1	-
ESW04491.1	-
ESW04492.1	-
ESW04493.1	-
ESW04494.1	-
ESW04495.1	ko:K09528
ESW04496.1	-
ESW04497.1	ko:K14539
ESW04499.1	-
ESW04500.1	ko:K09503
ESW04501.1	-
ESW04502.1	-
ESW04503.1	-
ESW04504.1	-
ESW04505.1	ko:K21407
ESW04506.1	ko:K10754
ESW04507.1	-
ESW04508.1	-
ESW04509.1	-
ESW04510.1	-
ESW04511.1	-
ESW04512.1	-
ESW04513.1	-
ESW04514.1	ko:K06676
ESW04515.1	-
ESW04516.1	-
ESW04520.1	ko:K01061
ESW04521.1	-
ESW04522.1	ko:K20716
ESW04523.1	-
ESW04524.1	ko:K14009
ESW04525.1	-
ESW04527.1	-
ESW04529.1	ko:K09875
ESW04530.1	ko:K01188,ko:K19964
ESW04532.1	-
ESW04533.1	-
ESW04534.1	-
ESW04535.1	ko:K08341
ESW04536.1	ko:K08341
ESW04537.1	ko:K20855
ESW04538.1	ko:K12951
ESW04539.1	ko:K04532
ESW04542.1	ko:K00764
ESW04543.1	ko:K00236
ESW04544.1	-
ESW04545.1	-
ESW04546.1	ko:K03327
ESW04547.1	ko:K05387
ESW04548.1	ko:K07976
ESW04549.1	-
ESW04550.1	ko:K14818
ESW04551.1	ko:K09338
ESW04552.1	-
ESW04556.1	-
ESW04557.1	-
ESW04558.1	-
ESW04559.1	ko:K01637
ESW04560.1	-
ESW04561.1	ko:K03113
ESW04562.1	-
ESW04563.1	ko:K00430
ESW04564.1	-
ESW04565.1	-
ESW04568.1	-
ESW04571.2	-
ESW04572.1	-
ESW04575.1	ko:K02949
ESW04576.1	ko:K08235
ESW04578.1	ko:K12742
ESW04579.1	-
ESW04580.1	-
ESW04581.1	ko:K02184
ESW04582.1	-
ESW04583.1	ko:K01177
ESW04584.1	-
ESW04585.1	-
ESW04586.1	-
ESW04587.1	-
ESW04588.1	-
ESW04589.1	ko:K22068
ESW04590.1	-
ESW04591.1	ko:K22068
ESW04592.1	ko:K14487
ESW04593.1	ko:K10840,ko:K16465
ESW04595.1	-
ESW04596.1	-
ESW04597.1	-
ESW04598.1	ko:K15341
ESW04599.1	ko:K04733
ESW04601.1	-
ESW04602.1	ko:K00235,ko:K02954,ko:K19514
ESW04603.1	ko:K09422
